V1	V(Vd)*I(R1)
Step Information: Rap=1  (Step: 1/11)
9.000000000000004e-01	7.396134e-20
1.000000000000000e+00	1.227319e-19
1.100000000000001e+00	8.638330e-19
1.200000000000000e+00	2.712687e-17
1.300000000000001e+00	1.356046e-15
1.400000000000000e+00	7.312603e-14
1.500000000000000e+00	3.984227e-12
1.600000000000001e+00	2.172316e-10
1.700000000000000e+00	1.182285e-08
1.800000000000001e+00	6.399793e-07
1.900000000000000e+00	3.412302e-05
2.000000000000000e+00	1.742575e-03
2.100000000000001e+00	7.815651e-02
2.200000000000000e+00	2.352177e+00
2.300000000000001e+00	2.662343e+01
2.400000000000000e+00	8.127860e+01
2.500000000000000e+00	8.156672e+01
2.600000000000001e+00	8.164339e+01
2.700000000000000e+00	8.168144e+01
2.800000000000001e+00	8.170408e+01
2.900000000000000e+00	8.171895e+01
3.000000000000000e+00	8.172951e+01
3.100000000000000e+00	8.173738e+01
3.200000000000001e+00	8.174347e+01
3.300000000000001e+00	8.174833e+01
3.400000000000000e+00	8.175230e+01
3.500000000000000e+00	8.175560e+01
3.600000000000000e+00	8.175838e+01
3.700000000000001e+00	8.176077e+01
3.800000000000001e+00	8.176283e+01
3.900000000000000e+00	8.176464e+01
4.000000000000000e+00	8.176623e+01
4.100000000000000e+00	8.176765e+01
4.200000000000001e+00	8.176891e+01
4.300000000000001e+00	8.177005e+01
4.400000000000000e+00	8.177108e+01
4.500000000000000e+00	8.177201e+01
4.600000000000001e+00	8.177287e+01
4.700000000000001e+00	8.177365e+01
4.800000000000001e+00	8.177437e+01
4.900000000000000e+00	8.177503e+01
5.000000000000000e+00	8.177565e+01
5.100000000000001e+00	8.177622e+01
5.200000000000001e+00	8.177675e+01
5.300000000000001e+00	8.177725e+01
5.400000000000000e+00	8.177772e+01
5.500000000000000e+00	8.177815e+01
5.600000000000001e+00	8.177856e+01
5.700000000000001e+00	8.177894e+01
5.800000000000001e+00	8.177931e+01
5.900000000000000e+00	8.177965e+01
6.000000000000000e+00	8.177997e+01
6.100000000000001e+00	8.178028e+01
6.200000000000001e+00	8.178057e+01
6.300000000000001e+00	8.178084e+01
6.400000000000000e+00	8.178111e+01
6.500000000000000e+00	8.178135e+01
6.600000000000001e+00	8.178160e+01
6.700000000000001e+00	8.178182e+01
6.800000000000001e+00	8.178204e+01
6.900000000000000e+00	8.178225e+01
7.000000000000000e+00	8.178245e+01
7.100000000000001e+00	8.178264e+01
7.200000000000001e+00	8.178282e+01
7.300000000000001e+00	8.178300e+01
7.400000000000000e+00	8.178317e+01
7.500000000000000e+00	8.178333e+01
7.600000000000001e+00	8.178349e+01
7.700000000000001e+00	8.178364e+01
7.800000000000001e+00	8.178378e+01
7.900000000000000e+00	8.178393e+01
8.000000000000000e+00	8.178406e+01
8.100000000000001e+00	8.178418e+01
8.200000000000001e+00	8.178431e+01
8.300000000000001e+00	8.178444e+01
8.400000000000000e+00	8.178455e+01
8.500000000000000e+00	8.178467e+01
8.600000000000001e+00	8.178478e+01
8.700000000000001e+00	8.178488e+01
8.800000000000001e+00	8.178499e+01
8.900000000000000e+00	8.178509e+01
9.000000000000000e+00	8.178518e+01
9.100000000000001e+00	8.178528e+01
9.200000000000001e+00	8.178537e+01
9.300000000000001e+00	8.178547e+01
9.400000000000000e+00	8.178555e+01
9.500000000000000e+00	8.178563e+01
9.600000000000001e+00	8.178571e+01
9.700000000000001e+00	8.178580e+01
9.800000000000001e+00	8.178587e+01
9.900000000000000e+00	8.178595e+01
1.000000000000000e+01	8.178603e+01
1.010000000000000e+01	8.178610e+01
1.020000000000000e+01	8.178617e+01
1.030000000000000e+01	8.178623e+01
1.040000000000000e+01	8.178630e+01
1.050000000000000e+01	8.178637e+01
1.060000000000000e+01	8.178643e+01
1.070000000000000e+01	8.178649e+01
1.080000000000000e+01	8.178655e+01
1.090000000000000e+01	8.178661e+01
1.100000000000000e+01	8.178667e+01
1.110000000000000e+01	8.178673e+01
1.120000000000000e+01	8.178677e+01
1.130000000000000e+01	8.178683e+01
1.140000000000000e+01	8.178688e+01
1.150000000000000e+01	8.178693e+01
1.160000000000000e+01	8.178699e+01
1.170000000000000e+01	8.178703e+01
1.180000000000000e+01	8.178709e+01
1.190000000000000e+01	8.178713e+01
1.200000000000000e+01	8.178718e+01
1.210000000000000e+01	8.178723e+01
1.220000000000000e+01	8.178727e+01
1.230000000000000e+01	8.178731e+01
1.240000000000000e+01	8.178736e+01
1.250000000000000e+01	8.178740e+01
1.260000000000000e+01	8.178743e+01
1.270000000000000e+01	8.178747e+01
1.280000000000000e+01	8.178752e+01
1.290000000000000e+01	8.178756e+01
1.300000000000000e+01	8.178759e+01
1.310000000000000e+01	8.178763e+01
1.320000000000000e+01	8.178767e+01
1.330000000000000e+01	8.178770e+01
1.340000000000000e+01	8.178774e+01
1.350000000000000e+01	8.178777e+01
1.360000000000000e+01	8.178780e+01
1.370000000000000e+01	8.178784e+01
1.380000000000000e+01	8.178787e+01
1.390000000000000e+01	8.178791e+01
1.400000000000000e+01	8.178794e+01
1.410000000000000e+01	8.178797e+01
1.420000000000000e+01	8.178800e+01
1.430000000000000e+01	8.178803e+01
1.440000000000000e+01	8.178806e+01
1.450000000000000e+01	8.178809e+01
1.460000000000000e+01	8.178812e+01
1.470000000000000e+01	8.178815e+01
1.480000000000000e+01	8.178817e+01
1.490000000000000e+01	8.178820e+01
1.500000000000000e+01	8.178823e+01
