V1	V(N001,Vd)
Step Information: Rap=1  (Step: 1/11)
-1.800000000000000e+00	3.000000e+01
-1.700000000000000e+00	3.000000e+01
-1.600000000000000e+00	3.000000e+01
-1.500000000000000e+00	3.000000e+01
-1.400000000000000e+00	3.000000e+01
-1.300000000000000e+00	3.000000e+01
-1.200000000000000e+00	3.000000e+01
-1.100000000000000e+00	3.000000e+01
-1.000000000000000e+00	3.000000e+01
-8.999999999999995e-01	3.000000e+01
-7.999999999999998e-01	3.000000e+01
-7.000000000000002e-01	3.000000e+01
-5.999999999999996e-01	3.000000e+01
-5.000000000000000e-01	3.000000e+01
-3.999999999999995e-01	3.000000e+01
-2.999999999999998e-01	3.000000e+01
-1.999999999999993e-01	3.000000e+01
-9.999999999999964e-02	3.000000e+01
0.000000000000000e+00	3.000000e+01
1.000000000000005e-01	3.000000e+01
2.000000000000002e-01	3.000000e+01
3.000000000000007e-01	3.000000e+01
4.000000000000004e-01	3.000000e+01
5.000000000000000e-01	3.000000e+01
6.000000000000005e-01	3.000000e+01
7.000000000000002e-01	3.000000e+01
8.000000000000007e-01	3.000000e+01
9.000000000000004e-01	3.000000e+01
1.000000000000000e+00	3.000000e+01
1.100000000000001e+00	3.000000e+01
1.200000000000000e+00	3.000000e+01
1.300000000000001e+00	3.000000e+01
1.400000000000000e+00	3.000000e+01
1.500000000000000e+00	2.999999e+01
1.600000000000001e+00	2.999995e+01
1.700000000000000e+00	2.999964e+01
1.800000000000001e+00	2.999735e+01
1.900000000000000e+00	2.998063e+01
2.000000000000000e+00	2.986155e+01
2.100000000000001e+00	2.907279e+01
2.200000000000000e+00	2.491336e+01
2.300000000000001e+00	1.288691e+01
2.400000000000000e+00	9.908867e-02
2.500000000000000e+00	4.613686e-02
2.600000000000001e+00	3.206253e-02
2.700000000000000e+00	2.507973e-02
2.800000000000001e+00	2.092552e-02
2.900000000000000e+00	1.819801e-02
3.000000000000000e+00	1.626015e-02
3.100000000000000e+00	1.481628e-02
3.200000000000001e+00	1.369858e-02
3.300000000000001e+00	1.280785e-02
3.400000000000000e+00	1.208115e-02
3.500000000000000e+00	1.147652e-02
3.600000000000000e+00	1.096535e-02
3.700000000000001e+00	1.052856e-02
3.800000000000001e+00	1.014900e-02
3.900000000000000e+00	9.817123e-03
4.000000000000000e+00	9.525299e-03
4.100000000000000e+00	9.265900e-03
4.200000000000001e+00	9.035110e-03
4.300000000000001e+00	8.825302e-03
4.400000000000000e+00	8.636475e-03
4.500000000000000e+00	8.464813e-03
4.600000000000001e+00	8.308411e-03
4.700000000000001e+00	8.165359e-03
4.800000000000001e+00	8.033752e-03
4.900000000000000e+00	7.911682e-03
5.000000000000000e+00	7.799149e-03
5.100000000000001e+00	7.694244e-03
5.200000000000001e+00	7.596970e-03
5.300000000000001e+00	7.505417e-03
5.400000000000000e+00	7.419586e-03
5.500000000000000e+00	7.341385e-03
5.600000000000001e+00	7.265091e-03
5.700000000000001e+00	7.194519e-03
5.800000000000001e+00	7.127762e-03
5.900000000000000e+00	7.066727e-03
6.000000000000000e+00	7.005692e-03
6.100000000000001e+00	6.950378e-03
6.200000000000001e+00	6.896973e-03
6.300000000000001e+00	6.845474e-03
6.400000000000000e+00	6.797791e-03
6.500000000000000e+00	6.752014e-03
6.600000000000001e+00	6.708145e-03
6.700000000000001e+00	6.666183e-03
6.800000000000001e+00	6.626129e-03
6.900000000000000e+00	6.587982e-03
7.000000000000000e+00	6.551743e-03
7.100000000000001e+00	6.517410e-03
7.200000000000001e+00	6.483078e-03
7.300000000000001e+00	6.450653e-03
7.400000000000000e+00	6.420135e-03
7.500000000000000e+00	6.389618e-03
7.600000000000001e+00	6.361008e-03
7.700000000000001e+00	6.334305e-03
7.800000000000001e+00	6.307602e-03
7.900000000000000e+00	6.280899e-03
8.000000000000000e+00	6.256104e-03
8.100000000000001e+00	6.233215e-03
8.200000000000001e+00	6.210327e-03
8.300000000000001e+00	6.187439e-03
8.400000000000000e+00	6.166458e-03
8.500000000000000e+00	6.145477e-03
8.600000000000001e+00	6.124496e-03
8.700000000000001e+00	6.105423e-03
8.800000000000001e+00	6.086349e-03
8.900000000000000e+00	6.067276e-03
9.000000000000000e+00	6.050110e-03
9.100000000000001e+00	6.032944e-03
9.200000000000001e+00	6.015778e-03
9.300000000000001e+00	5.998611e-03
9.400000000000000e+00	5.983353e-03
9.500000000000000e+00	5.968094e-03
9.600000000000001e+00	5.952835e-03
9.700000000000001e+00	5.937576e-03
9.800000000000001e+00	5.924225e-03
9.900000000000000e+00	5.908966e-03
1.000000000000000e+01	5.895615e-03
1.010000000000000e+01	5.882263e-03
1.020000000000000e+01	5.870819e-03
1.030000000000000e+01	5.857468e-03
1.040000000000000e+01	5.846024e-03
1.050000000000000e+01	5.834579e-03
1.060000000000000e+01	5.821228e-03
1.070000000000000e+01	5.811691e-03
1.080000000000000e+01	5.800247e-03
1.090000000000000e+01	5.788803e-03
1.100000000000000e+01	5.779266e-03
1.110000000000000e+01	5.767822e-03
1.120000000000000e+01	5.758286e-03
1.130000000000000e+01	5.748749e-03
1.140000000000000e+01	5.739212e-03
1.150000000000000e+01	5.729675e-03
1.160000000000000e+01	5.720139e-03
1.170000000000000e+01	5.710602e-03
1.180000000000000e+01	5.701065e-03
1.190000000000000e+01	5.693436e-03
1.200000000000000e+01	5.683899e-03
1.210000000000000e+01	5.676270e-03
1.220000000000000e+01	5.668640e-03
1.230000000000000e+01	5.661011e-03
1.240000000000000e+01	5.651474e-03
1.250000000000000e+01	5.643845e-03
1.260000000000000e+01	5.638123e-03
1.270000000000000e+01	5.630493e-03
1.280000000000000e+01	5.622864e-03
1.290000000000000e+01	5.615234e-03
1.300000000000000e+01	5.607605e-03
1.310000000000000e+01	5.601883e-03
1.320000000000000e+01	5.594254e-03
1.330000000000000e+01	5.588531e-03
1.340000000000000e+01	5.582809e-03
1.350000000000000e+01	5.575180e-03
1.360000000000000e+01	5.569458e-03
1.370000000000000e+01	5.563736e-03
1.380000000000000e+01	5.558014e-03
1.390000000000000e+01	5.550385e-03
1.400000000000000e+01	5.544662e-03
1.410000000000000e+01	5.538940e-03
1.420000000000000e+01	5.533218e-03
1.430000000000000e+01	5.529404e-03
1.440000000000000e+01	5.523682e-03
1.450000000000000e+01	5.517960e-03
1.460000000000000e+01	5.512238e-03
1.470000000000000e+01	5.506516e-03
1.480000000000000e+01	5.502701e-03
1.490000000000000e+01	5.496979e-03
1.500000000000000e+01	5.493164e-03
1.510000000000000e+01	5.487442e-03
1.520000000000000e+01	5.481720e-03
1.530000000000000e+01	5.477905e-03
1.540000000000000e+01	5.474091e-03
1.550000000000000e+01	5.468369e-03
1.560000000000000e+01	5.464554e-03
1.570000000000000e+01	5.458832e-03
1.580000000000000e+01	5.455017e-03
1.590000000000000e+01	5.451202e-03
1.600000000000000e+01	5.447388e-03
1.610000000000000e+01	5.443573e-03
1.620000000000000e+01	5.437851e-03
1.630000000000000e+01	5.434036e-03
1.640000000000000e+01	5.430222e-03
