V1	I(R1)
Step Information: Rap=1  (Step: 1/11)
-3.200000000000000e+00	7.829999e-11
-3.100000000000000e+00	7.829995e-11
-3.000000000000000e+00	7.829999e-11
-2.900000000000000e+00	7.829999e-11
-2.800000000000000e+00	7.829995e-11
-2.700000000000000e+00	7.829999e-11
-2.600000000000000e+00	7.829999e-11
-2.500000000000000e+00	7.829999e-11
-2.400000000000000e+00	7.829999e-11
-2.300000000000000e+00	7.829999e-11
-2.200000000000000e+00	7.829999e-11
-2.100000000000000e+00	7.829999e-11
-2.000000000000000e+00	7.830001e-11
-1.900000000000000e+00	7.829999e-11
-1.800000000000000e+00	7.829999e-11
-1.700000000000000e+00	7.829999e-11
-1.600000000000000e+00	7.829999e-11
-1.500000000000000e+00	7.830001e-11
-1.400000000000000e+00	7.829999e-11
-1.300000000000000e+00	7.829999e-11
-1.200000000000000e+00	7.830001e-11
-1.100000000000000e+00	7.830001e-11
-1.000000000000000e+00	7.830001e-11
-8.999999999999995e-01	7.830001e-11
-7.999999999999998e-01	7.830001e-11
-7.000000000000002e-01	7.830001e-11
-5.999999999999996e-01	7.829999e-11
-5.000000000000000e-01	7.830000e-11
-3.999999999999995e-01	7.830000e-11
-2.999999999999998e-01	7.830000e-11
-1.999999999999993e-01	7.830000e-11
-9.999999999999964e-02	7.830000e-11
0.000000000000000e+00	7.830000e-11
1.000000000000005e-01	7.830000e-11
2.000000000000002e-01	7.829999e-11
3.000000000000007e-01	7.830002e-11
4.000000000000004e-01	7.830015e-11
5.000000000000000e-01	7.830126e-11
6.000000000000005e-01	7.830920e-11
7.000000000000002e-01	7.836781e-11
8.000000000000007e-01	7.880055e-11
9.000000000000004e-01	8.199853e-11
1.000000000000000e+00	1.056288e-10
1.100000000000001e+00	2.802325e-10
1.200000000000000e+00	1.570375e-09
1.300000000000001e+00	1.110301e-08
1.400000000000000e+00	8.153417e-08
1.500000000000000e+00	6.018326e-07
1.600000000000001e+00	4.443909e-06
1.700000000000000e+00	3.278422e-05
1.800000000000001e+00	2.412052e-04
1.900000000000000e+00	1.761276e-03
2.000000000000000e+00	1.258634e-02
2.100000000000001e+00	8.429198e-02
2.200000000000000e+00	4.624222e-01
2.300000000000001e+00	1.555735e+00
2.400000000000000e+00	2.718265e+00
2.500000000000000e+00	2.723078e+00
2.600000000000001e+00	2.724358e+00
2.700000000000000e+00	2.724993e+00
2.800000000000001e+00	2.725370e+00
2.900000000000000e+00	2.725618e+00
3.000000000000000e+00	2.725795e+00
3.100000000000000e+00	2.725926e+00
3.200000000000001e+00	2.726027e+00
3.300000000000001e+00	2.726108e+00
3.400000000000000e+00	2.726174e+00
3.500000000000000e+00	2.726229e+00
3.600000000000000e+00	2.726276e+00
