V1	V(N001,Vd)*Id(M1)+V(Vg,Vd)*Ig(M1)
Step Information: Rap=1  (Step: 1/11)
1.600000000000001e+00	1.333164e-04
1.700000000000000e+00	9.835228e-04
1.800000000000001e+00	7.236003e-03
1.900000000000000e+00	5.283016e-02
2.000000000000000e+00	3.771742e-01
2.100000000000001e+00	2.509607e+00
2.200000000000000e+00	1.320612e+01
2.300000000000001e+00	3.521778e+01
2.400000000000000e+00	2.314460e+01
2.500000000000000e+00	4.725069e-01
2.600000000000001e+00	3.049918e-01
2.700000000000000e+00	2.340927e-01
2.800000000000001e+00	1.938977e-01
2.900000000000000e+00	1.679063e-01
3.000000000000000e+00	1.496897e-01
3.100000000000000e+00	1.362324e-01
3.200000000000001e+00	1.258460e-01
3.300000000000001e+00	1.175816e-01
3.400000000000000e+00	1.108586e-01
3.500000000000000e+00	1.052784e-01
3.600000000000000e+00	1.005642e-01
3.700000000000001e+00	9.653546e-02
3.800000000000001e+00	9.304940e-02
3.900000000000000e+00	9.000140e-02
4.000000000000000e+00	8.731521e-02
4.100000000000000e+00	8.493376e-02
4.200000000000001e+00	8.279993e-02
4.300000000000001e+00	8.088514e-02
4.400000000000000e+00	7.915130e-02
4.500000000000000e+00	7.757939e-02
4.600000000000001e+00	7.614082e-02
4.700000000000001e+00	7.482607e-02
4.800000000000001e+00	7.360658e-02
4.900000000000000e+00	7.249186e-02
5.000000000000000e+00	7.146288e-02
5.100000000000001e+00	7.050058e-02
5.200000000000001e+00	6.960497e-02
5.300000000000001e+00	6.876651e-02
5.400000000000000e+00	6.798521e-02
5.500000000000000e+00	6.726107e-02
5.600000000000001e+00	6.657504e-02
5.700000000000001e+00	6.592712e-02
5.800000000000001e+00	6.531730e-02
5.900000000000000e+00	6.473606e-02
6.000000000000000e+00	6.419294e-02
6.100000000000001e+00	6.367839e-02
6.200000000000001e+00	6.319243e-02
6.300000000000001e+00	6.272552e-02
6.400000000000000e+00	6.228719e-02
6.500000000000000e+00	6.185840e-02
6.600000000000001e+00	6.145818e-02
6.700000000000001e+00	6.107703e-02
6.800000000000001e+00	6.071492e-02
6.900000000000000e+00	6.036235e-02
7.000000000000000e+00	6.002883e-02
7.100000000000001e+00	5.970484e-02
7.200000000000001e+00	5.939991e-02
7.300000000000001e+00	5.910450e-02
7.400000000000000e+00	5.881862e-02
7.500000000000000e+00	5.854227e-02
7.600000000000001e+00	5.828498e-02
7.700000000000001e+00	5.802769e-02
7.800000000000001e+00	5.778946e-02
7.900000000000000e+00	5.755122e-02
8.000000000000000e+00	5.732251e-02
8.100000000000001e+00	5.710334e-02
8.200000000000001e+00	5.689369e-02
8.300000000000001e+00	5.668404e-02
8.400000000000000e+00	5.649345e-02
8.500000000000000e+00	5.629332e-02
8.600000000000001e+00	5.611226e-02
8.700000000000001e+00	5.593120e-02
8.800000000000001e+00	5.575967e-02
8.900000000000000e+00	5.558814e-02
9.000000000000000e+00	5.542613e-02
9.100000000000001e+00	5.526412e-02
9.200000000000001e+00	5.511165e-02
9.300000000000001e+00	5.495917e-02
9.400000000000000e+00	5.481623e-02
9.500000000000000e+00	5.467328e-02
9.600000000000001e+00	5.453986e-02
9.700000000000001e+00	5.440645e-02
9.800000000000001e+00	5.427303e-02
9.900000000000000e+00	5.414914e-02
1.000000000000000e+01	5.402525e-02
1.010000000000000e+01	5.390136e-02
1.020000000000000e+01	5.378701e-02
1.030000000000000e+01	5.367265e-02
1.040000000000000e+01	5.355829e-02
1.050000000000000e+01	5.345346e-02
1.060000000000000e+01	5.333910e-02
1.070000000000000e+01	5.324380e-02
1.080000000000000e+01	5.313897e-02
1.090000000000000e+01	5.303414e-02
1.100000000000000e+01	5.293884e-02
1.110000000000000e+01	5.284353e-02
1.120000000000000e+01	5.275777e-02
1.130000000000000e+01	5.266247e-02
1.140000000000000e+01	5.257670e-02
1.150000000000000e+01	5.249092e-02
1.160000000000000e+01	5.240515e-02
1.170000000000000e+01	5.231938e-02
1.180000000000000e+01	5.224315e-02
1.190000000000000e+01	5.215737e-02
1.200000000000000e+01	5.208113e-02
1.210000000000000e+01	5.200489e-02
1.220000000000000e+01	5.193818e-02
1.230000000000000e+01	5.186194e-02
1.240000000000000e+01	5.178569e-02
1.250000000000000e+01	5.171899e-02
1.260000000000000e+01	5.165228e-02
1.270000000000000e+01	5.158557e-02
1.280000000000000e+01	5.151886e-02
1.290000000000000e+01	5.145214e-02
1.300000000000000e+01	5.138543e-02
